arm,sigma_a,object,rho,rel_mse_aligned,rel_mse_raw,n
hadamard_paired+pairwise,0.15,8,0.001,0.004299943001781556,0.004401451617368759,5
hadamard_paired+pairwise,0.15,8,0.003,0.012784406232330684,0.013013114203042908,5
hadamard_paired+pairwise,0.15,8,0.01,0.04127311601652804,0.042410558850055666,5
hadamard_paired+pairwise,0.15,8,0.03,0.11374836477438159,0.12541781517505507,5
hadamard_paired+pairwise,0.15,8,0.1,0.29343219805370774,0.40754963850880965,5
hadamard_paired+pairwise,0.15,8,0.3,0.5305294054056178,1.1101943430468122,5
hadamard_paired+pairwise,0.15,8,1.0,0.7307950804569223,2.6764089136461924,5
hadamard_paired+pairwise,0.15,8,3.0,0.8006258061750134,3.9639168037807644,5
hadamard_paired+pairwise,0.15,8,10.0,0.8082386792709422,4.164978651763375,5
hadamard_paired+pairwise,0.15,9,0.001,0.0034904409031184178,0.003593691262932317,5
hadamard_paired+pairwise,0.15,9,0.003,0.010389160833890852,0.010606881003337832,5
hadamard_paired+pairwise,0.15,9,0.01,0.03369174299739537,0.03442308658327305,5
hadamard_paired+pairwise,0.15,9,0.03,0.09408039788516118,0.10182727775272823,5
hadamard_paired+pairwise,0.15,9,0.1,0.2519565111036024,0.3303593188804741,5
hadamard_paired+pairwise,0.15,9,0.3,0.48096964673412046,0.9007384542099552,5
hadamard_paired+pairwise,0.15,9,1.0,0.6950548524555991,2.1679028110918797,5
hadamard_paired+pairwise,0.15,9,3.0,0.7746646386335423,3.21426881399769,5
hadamard_paired+pairwise,0.15,9,10.0,0.7836055048337275,3.3791111102568023,5
hadamard_paired+pairwise,0.3,0,0.001,0.01162525304104248,0.012060833861625837,5
hadamard_paired+pairwise,0.3,0,0.003,0.03408712377427451,0.03479766784166092,5
hadamard_paired+pairwise,0.3,0,0.01,0.10507806387382781,0.11004781549706044,5
hadamard_paired+pairwise,0.3,0,0.03,0.25963006636036734,0.32183614785477216,5
hadamard_paired+pairwise,0.3,0,0.1,0.532892349285107,1.0426271559559563,5
hadamard_paired+pairwise,0.3,0,0.3,0.7563192326848563,2.818130210973944,5
hadamard_paired+pairwise,0.3,0,1.0,0.8807595827964594,6.657317869151287,5
