sigma_a,rho,seed,object,rel_mse_raw
0.1,0.001,1,5,0.4934512160064317
0.1,0.001,1,6,0.4846212261570078
0.1,0.001,1,7,0.5267529111258747
0.1,0.001,1,8,0.5043874366518181
0.1,0.001,1,9,0.5066149547106875
0.1,0.001,2,0,0.49230197478216486
0.1,0.001,2,1,0.49802488597525985
0.1,0.001,2,2,0.47856933993465506
0.1,0.001,2,3,0.5095086428897799
0.1,0.001,2,4,0.5442038238058354
0.1,0.001,2,5,0.49345122031152666
0.1,0.001,2,6,0.48462123667288065
0.1,0.001,2,7,0.526752864002735
0.1,0.001,2,8,0.5043874828881981
0.1,0.001,2,9,0.5066149521771811
0.1,0.001,3,0,0.4923019890503905
0.1,0.001,3,1,0.49802485809753855
0.1,0.001,3,2,0.4785693388604732
0.1,0.001,3,3,0.5095086496301219
0.1,0.001,3,4,0.5442038135717338
0.1,0.001,3,5,0.49345121374742346
0.1,0.001,3,6,0.48462124552926844
0.1,0.001,3,7,0.5267528526049752
0.1,0.001,3,8,0.5043874685459696
0.1,0.001,3,9,0.5066149371997759
0.1,0.001,4,0,0.49230199661973023
0.1,0.001,4,1,0.4980248668812469
0.1,0.001,4,2,0.47856936945719364
0.1,0.001,4,3,0.5095086683600019
